Rating,Ave_Salary,Founded_Years,City,State,Max_Company_Size,Highest_Revenue,Max_USD_Revenue,Python_knowledge,MatLab_knowledge,PowerBI_knowledge,SQL_knowledge,ETL_knowledge,Math_knowledge,Work_Remote,GitHub_works,DataB_knowledge,Jobs
3.8,72.0,48.0,Albuquerque,NM,1000.0,100,100000000.0,1,1,1,0,0,1,0,0,1,1
3.4,87.5,37.0,Linthicum,MD,10000.0,5,5000000000.0,1,0,0,0,0,1,0,0,1,1
4.8,85.0,11.0,Clearwater,FL,1000.0,500,500000000.0,1,0,0,1,0,1,0,0,0,1
3.8,76.5,56.0,Richland,WA,5000.0,1,1000000000.0,1,0,0,0,0,1,0,0,0,1
2.9,114.5,23.0,New York,NY,200.0,1,1.0,1,0,0,1,0,1,0,0,1,1
3.4,95.0,21.0,Dallas,TX,500.0,2,2000000000.0,1,0,1,1,0,0,0,0,1,1
4.1,73.5,13.0,Baltimore,MD,1000.0,1,1.0,0,0,0,0,0,1,0,0,0,1
3.8,114.0,16.0,San Jose,CA,500.0,50,50000000.0,1,0,0,1,0,1,0,0,1,1
3.3,61.0,7.0,Rochester,NY,10000.0,1,1000000000.0,0,0,0,0,0,0,0,0,0,1
4.6,140.0,12.0,New York,NY,200.0,500,500000000.0,1,0,0,0,0,0,0,0,0,1
3.5,163.5,10.0,San Jose,CA,1000.0,2,2000000000.0,1,0,0,0,0,0,0,0,0,1
4.1,85.0,53.0,Chantilly,VA,10000.0,2,2000000000.0,0,0,0,1,0,1,0,0,1,1
3.2,139.0,59.0,Plano,TX,10000.0,10,10000000000.0,0,1,0,1,0,0,0,0,0,1
4.1,65.5,9.0,Seattle,WA,500.0,1,1.0,1,0,1,1,1,0,0,0,0,1
3.7,113.5,21.0,Cambridge,MA,10000.0,10,10000000000.0,1,0,0,1,0,0,0,0,0,1
3.6,146.0,26.0,Newark,NJ,5000.0,1,1.0,0,0,0,0,0,0,0,0,0,1
3.9,102.0,10.0,Cambridge,MA,200.0,5,5000000.0,0,0,0,0,0,0,0,0,0,1
4.3,153.5,10.0,Mountain View,CA,500.0,1,1.0,1,0,0,0,0,1,0,0,1,1
4.2,142.5,11.0,San Francisco,CA,200.0,1,1.0,0,0,0,1,0,1,0,0,0,1
4.0,87.5,106.0,Denver,CO,1000.0,1,1000000000.0,1,0,0,1,0,0,0,0,0,1
3.2,105.5,9.0,Seattle,WA,500.0,1,1.0,1,0,0,1,0,1,0,0,1,1
3.9,96.0,8.0,Dallas,TX,500.0,1,1.0,0,0,0,0,0,1,0,0,0,1
3.8,112.5,26.0,Chicago,IL,1000.0,1,1.0,1,0,0,1,0,0,0,1,1,1
4.3,84.0,86.0,Louisville,KY,200.0,25,25000000.0,1,0,0,1,0,1,0,0,0,1
4.0,143.0,9.0,Herndon,VA,1000.0,500,500000000.0,1,0,0,0,0,0,0,0,0,1
4.0,86.5,21.0,Cambridge,MA,10000.0,10,10000000000.0,1,1,0,0,0,0,0,0,0,1
3.5,99.5,69.0,Hillsboro,OR,5000.0,500,500000000.0,1,0,0,1,0,1,0,0,1,1
3.7,47.5,21.0,Worcester,MA,10000.0,10,10000000000.0,0,0,0,0,0,0,0,0,0,1
